Название песни;Альбом;Слово;Лемма;Часть речи;Падеж;Число;Время;Лицо;Форма прилагательного
Журавли;Курара, 2006;ветру;ветер;NOUN;дательный;единственное;-;-;-
Журавли;Курара, 2006;летят;лететь;VERB;-;множественное;настоящее;3;-
Журавли;Курара, 2006;журавли;журавль;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;на;на;PREP;-;-;-;-;-
Журавли;Курара, 2006;тех;тот;ADJF;родительный;множественное;-;-;полная
Журавли;Курара, 2006;кассетах;кассета;NOUN;предложный;множественное;-;-;-
Журавли;Курара, 2006;останется;остаться;VERB;-;единственное;будущее;3;-
Журавли;Курара, 2006;капля;капля;NOUN;именительный;единственное;-;-;-
Журавли;Курара, 2006;любви;любовь;NOUN;родительный;единственное;-;-;-
Журавли;Курара, 2006;за;за;PREP;-;-;-;-;-
Журавли;Курара, 2006;нами;мы;NPRO;-;-;-;-;-
Журавли;Курара, 2006;лето;лето;NOUN;винительный;единственное;-;-;-
Журавли;Курара, 2006;за;за;PREP;-;-;-;-;-
Журавли;Курара, 2006;нами;мы;NPRO;-;-;-;-;-
Журавли;Курара, 2006;топить;топить;INFN;-;-;-;-;-
Журавли;Курара, 2006;корабли;корабль;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;за;за;PREP;-;-;-;-;-
Журавли;Курара, 2006;краем;край;NOUN;творительный;единственное;-;-;-
Журавли;Курара, 2006;света;свет;NOUN;родительный;единственное;-;-;-
Журавли;Курара, 2006;выходим;выходить;VERB;-;множественное;будущее;1;-
Журавли;Курара, 2006;точным;точный;ADJF;творительный;единственное;-;-;полная
Журавли;Курара, 2006;жестом;жест;NOUN;творительный;единственное;-;-;-
Журавли;Курара, 2006;укажешь;указать;VERB;-;единственное;будущее;2;-
Журавли;Курара, 2006;на;на;PREP;-;-;-;-;-
Журавли;Курара, 2006;дождь;дождь;NOUN;именительный;единственное;-;-;-
Журавли;Курара, 2006;можно;можно;PRED;-;-;-;-;-
Журавли;Курара, 2006;промокнуть;промокнуть;INFN;-;-;-;-;-
Журавли;Курара, 2006;можно;можно;PRED;-;-;-;-;-
Журавли;Курара, 2006;умыться;умыться;INFN;-;-;-;-;-
Журавли;Курара, 2006;старой;старый;ADJF;родительный;единственное;-;-;полная
Журавли;Курара, 2006;собаке;собака;NOUN;дательный;единственное;-;-;-
Журавли;Курара, 2006;сегодня;сегодня;ADVB;-;-;-;-;-
Журавли;Курара, 2006;не;не;PRCL;-;-;-;-;-
Журавли;Курара, 2006;спится;спаться;VERB;-;единственное;настоящее;-;-
Журавли;Курара, 2006;старые;старый;ADJF;именительный;множественное;-;-;полная
Журавли;Курара, 2006;дети;ребёнок;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;насадили;насадить;VERB;-;множественное;прошедшее;-;-
Журавли;Курара, 2006;на;на;PREP;-;-;-;-;-
Журавли;Курара, 2006;нож;нож;NOUN;именительный;единственное;-;-;-
Журавли;Курара, 2006;фотопортреты;фотопортрет;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;парапеты;парапет;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;ставки;ставка;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;герои;герой;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;квеста;квест;NOUN;родительный;единственное;-;-;-
Журавли;Курара, 2006;не;не;PRCL;-;-;-;-;-
Журавли;Курара, 2006;дойдут;дойти;VERB;-;множественное;будущее;3;-
Журавли;Курара, 2006;до;до;PREP;-;-;-;-;-
Журавли;Курара, 2006;полюса;полюс;NOUN;родительный;единственное;-;-;-
Журавли;Курара, 2006;серая;серый;ADJF;именительный;единственное;-;-;полная
Журавли;Курара, 2006;кошка;кошка;NOUN;именительный;единственное;-;-;-
Журавли;Курара, 2006;обнажится;обнажиться;VERB;-;единственное;будущее;3;-
Журавли;Курара, 2006;по;по;PREP;-;-;-;-;-
Журавли;Курара, 2006;пояс;пояс;NOUN;винительный;единственное;-;-;-
Журавли;Курара, 2006;слижет;слизать;VERB;-;единственное;будущее;3;-
Журавли;Курара, 2006;три;три;NUMR;-;-;-;-;-
Журавли;Курара, 2006;карты;карта;NOUN;родительный;единственное;-;-;-
Журавли;Курара, 2006;кинет;кинуть;VERB;-;единственное;будущее;3;-
Журавли;Курара, 2006;стакан;стакан;NOUN;винительный;единственное;-;-;-
Журавли;Курара, 2006;медленно;медленно;ADVB;-;-;-;-;-
Журавли;Курара, 2006;слепо;слепо;ADVB;-;-;-;-;-
Журавли;Курара, 2006;по;по;PREP;-;-;-;-;-
Журавли;Курара, 2006;ветру;ветер;NOUN;дательный;единственное;-;-;-
Журавли;Курара, 2006;летят;лететь;VERB;-;множественное;настоящее;3;-
Журавли;Курара, 2006;журавли;журавль;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;на;на;PREP;-;-;-;-;-
Журавли;Курара, 2006;тех;тот;ADJF;родительный;множественное;-;-;полная
Журавли;Курара, 2006;кассетах;кассета;NOUN;предложный;множественное;-;-;-
Журавли;Курара, 2006;останется;остаться;VERB;-;единственное;будущее;3;-
Журавли;Курара, 2006;капля;капля;NOUN;именительный;единственное;-;-;-
Журавли;Курара, 2006;любви;любовь;NOUN;родительный;единственное;-;-;-
Журавли;Курара, 2006;за;за;PREP;-;-;-;-;-
Журавли;Курара, 2006;нами;мы;NPRO;-;-;-;-;-
Журавли;Курара, 2006;лето;лето;NOUN;винительный;единственное;-;-;-
Журавли;Курара, 2006;за;за;PREP;-;-;-;-;-
Журавли;Курара, 2006;нами;мы;NPRO;-;-;-;-;-
Журавли;Курара, 2006;топить;топить;INFN;-;-;-;-;-
Журавли;Курара, 2006;корабли;корабль;NOUN;именительный;множественное;-;-;-
Журавли;Курара, 2006;за;за;PREP;-;-;-;-;-
Журавли;Курара, 2006;краем;край;NOUN;творительный;единственное;-;-;-
Журавли;Курара, 2006;света;свет;NOUN;родительный;единственное;-;-;-
Журавли;Курара, 2006;выходим;выходить;VERB;-;множественное;будущее;1;-
Журавли;Курара, 2006;всё;всё;PRCL;-;-;-;-;-
Журавли;Курара, 2006;впереди;впереди;ADVB;-;-;-;-;-
На память;Курара, 2006;снегом;снег;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;снегом;снег;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;дождём;дождь;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;дождём;дождь;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;все-таки;всё-таки;PRCL;-;-;-;-;-
На память;Курара, 2006;помним;помнить;VERB;-;множественное;настоящее;1;-
На память;Курара, 2006;мы;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;помним;помнить;VERB;-;множественное;настоящее;1;-
На память;Курара, 2006;бегом;бегом;ADVB;-;-;-;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;бегом;бегом;ADVB;-;-;-;-;-
На память;Курара, 2006;идём;идти;VERB;-;множественное;настоящее;1;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;идём;идти;VERB;-;множественное;настоящее;1;-
На память;Курара, 2006;все-таки;всё-таки;PRCL;-;-;-;-;-
На память;Курара, 2006;гоним;гонимый;ADJS;-;единственное;-;-;краткая
На память;Курара, 2006;гоним;гонимый;ADJS;-;единственное;-;-;краткая
На память;Курара, 2006;ловим;ловить;VERB;-;множественное;настоящее;1;-
На память;Курара, 2006;ртом;рот;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;посылки;посылка;NOUN;винительный;множественное;-;-;-
На память;Курара, 2006;сверху;сверху;ADVB;-;-;-;-;-
На память;Курара, 2006;роем;рой;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;пол;пол;NOUN;именительный;единственное;-;-;-
На память;Курара, 2006;молитвы-песни;молитва-песня;NOUN;винительный;множественное;-;-;-
На память;Курара, 2006;жить;жить;INFN;-;-;-;-;-
На память;Курара, 2006;кольце;кольцо;NOUN;предложный;единственное;-;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;интересно;интересно;ADVB;-;-;-;-;-
На память;Курара, 2006;тесно;тесно;ADVB;-;-;-;-;-
На память;Курара, 2006;мир;мир;NOUN;именительный;единственное;-;-;-
На память;Курара, 2006;валится;валиться;VERB;-;единственное;настоящее;3;-
На память;Курара, 2006;на;на;PREP;-;-;-;-;-
На память;Курара, 2006;пазлы;пазл;NOUN;именительный;множественное;-;-;-
На память;Курара, 2006;мы;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;катимся;катиться;VERB;-;множественное;настоящее;1;-
На память;Курара, 2006;за;за;PREP;-;-;-;-;-
На память;Курара, 2006;сказкой;сказка;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;краски;краска;NOUN;родительный;единственное;-;-;-
На память;Курара, 2006;выцветут;выцвести;VERB;-;множественное;будущее;3;-
На память;Курара, 2006;книги;книга;NOUN;родительный;единственное;-;-;-
На память;Курара, 2006;выдадут;выдать;VERB;-;множественное;будущее;3;-
На память;Курара, 2006;тираж;тираж;NOUN;именительный;единственное;-;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;нами;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;на;на;PREP;-;-;-;-;-
На память;Курара, 2006;память;память;NOUN;винительный;единственное;-;-;-
На память;Курара, 2006;спали;спасть;VERB;-;множественное;прошедшее;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;спали;спасть;VERB;-;множественное;прошедшее;-;-
На память;Курара, 2006;жили;жить;VERB;-;множественное;прошедшее;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;жили;жить;VERB;-;множественное;прошедшее;-;-
На память;Курара, 2006;все-таки;всё-таки;PRCL;-;-;-;-;-
На память;Курара, 2006;живы;живой;ADJS;-;множественное;-;-;краткая
На память;Курара, 2006;мы;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;живы;живой;ADJS;-;множественное;-;-;краткая
На память;Курара, 2006;источник;источник;NOUN;именительный;единственное;-;-;-
На память;Курара, 2006;txtsong;txtsong;не определено;-;-;-;-;-
На память;Курара, 2006;ru;ru;не определено;-;-;-;-;-
На память;Курара, 2006;встречи-спирали;встреча-спираль;NOUN;родительный;единственное;-;-;-
На память;Курара, 2006;память;память;NOUN;винительный;единственное;-;-;-
На память;Курара, 2006;стирали;стирать;VERB;-;множественное;прошедшее;-;-
На память;Курара, 2006;всё-таки;всё-таки;PRCL;-;-;-;-;-
На память;Курара, 2006;мимо;мимо;PREP;-;-;-;-;-
На память;Курара, 2006;мимо;мимо;PREP;-;-;-;-;-
На память;Курара, 2006;мы;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;затянутые;затянутый;ADJF;именительный;множественное;-;-;полная
На память;Курара, 2006;пьесы;пьеса;NOUN;родительный;единственное;-;-;-
На память;Курара, 2006;мы;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;затасканные;затаскать;PRTF;именительный;множественное;прошедшее;-;-
На память;Курара, 2006;вещи;вещь;NOUN;винительный;множественное;-;-;-
На память;Курара, 2006;мы;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;конце;конец;NOUN;предложный;единственное;-;-;-
На память;Курара, 2006;нам;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;всё;всё;PRCL;-;-;-;-;-
На память;Курара, 2006;известно;известно;PRED;-;-;-;-;-
На память;Курара, 2006;честно;честно;ADVB;-;-;-;-;-
На память;Курара, 2006;мир;мир;NOUN;именительный;единственное;-;-;-
На память;Курара, 2006;валится;валиться;VERB;-;единственное;настоящее;3;-
На память;Курара, 2006;на;на;PREP;-;-;-;-;-
На память;Курара, 2006;пазлы;пазл;NOUN;именительный;множественное;-;-;-
На память;Курара, 2006;мы;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;катимся;катиться;VERB;-;множественное;настоящее;1;-
На память;Курара, 2006;за;за;PREP;-;-;-;-;-
На память;Курара, 2006;сказкой;сказка;NOUN;творительный;единственное;-;-;-
На память;Курара, 2006;краски;краска;NOUN;родительный;единственное;-;-;-
На память;Курара, 2006;выцветут;выцвести;VERB;-;множественное;будущее;3;-
На память;Курара, 2006;книги;книга;NOUN;родительный;единственное;-;-;-
На память;Курара, 2006;выдадут;выдать;VERB;-;множественное;будущее;3;-
На память;Курара, 2006;тираж;тираж;NOUN;именительный;единственное;-;-;-
На память;Курара, 2006;не;не;PRCL;-;-;-;-;-
На память;Курара, 2006;нами;мы;NPRO;-;-;-;-;-
На память;Курара, 2006;на;на;PREP;-;-;-;-;-
На память;Курара, 2006;память;память;NOUN;винительный;единственное;-;-;-
На память;Курара, 2006;взмах;взмах;NOUN;именительный;единственное;-;-;-
На память;Курара, 2006;руки;рука;NOUN;винительный;множественное;-;-;-
На память;Курара, 2006;поехали;поехать;VERB;-;множественное;прошедшее;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;каждую;каждый;ADJF;винительный;единственное;-;-;полная
Друг друга;Курара, 2006;фразу;фраза;NOUN;винительный;единственное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;каждые;каждый;ADJF;винительный;множественное;-;-;полная
Друг друга;Курара, 2006;грозы;гроза;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;каждый;каждый;ADJF;винительный;единственное;-;-;полная
Друг друга;Курара, 2006;рассказ;рассказ;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;березы;берёза;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;их;они;NPRO;-;-;-;-;-
Друг друга;Курара, 2006;ананасы;ананас;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;мой;мой;ADJF;именительный;единственное;-;-;полная
Друг друга;Курара, 2006;маракас;маракас;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;летят;лететь;VERB;-;множественное;настоящее;3;-
Друг друга;Курара, 2006;паровозы;паровоз;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;горят;гореть;VERB;-;множественное;настоящее;3;-
Друг друга;Курара, 2006;все;всё;PRCL;-;-;-;-;-
Друг друга;Курара, 2006;путевки;путёвка;NOUN;родительный;единственное;-;-;-
Друг друга;Курара, 2006;на;на;PREP;-;-;-;-;-
Друг друга;Курара, 2006;первый;первый;ADJF;именительный;единственное;-;-;полная
Друг друга;Курара, 2006;этаж;этаж;NOUN;винительный;единственное;-;-;-
Друг друга;Курара, 2006;ребята;ребята;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;любите;любить;VERB;-;множественное;настоящее;2;-
Друг друга;Курара, 2006;друг;друг;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;друга;друг;NOUN;родительный;единственное;-;-;-
Друг друга;Курара, 2006;мать;мать;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;вашу;ваш;ADJF;винительный;единственное;-;-;полная
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;потуги;потуга;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;подвиги;подвиг;NOUN;винительный;множественное;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;первые;первый;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;встречи;встреча;NOUN;родительный;единственное;-;-;-
Друг друга;Курара, 2006;на;на;PREP;-;-;-;-;-
Друг друга;Курара, 2006;первые;первый;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;плечи;плечо;NOUN;винительный;множественное;-;-;-
Друг друга;Курара, 2006;наколоты;наколоть;PRTS;-;множественное;прошедшее;-;-
Друг друга;Курара, 2006;танцы;танец;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;во-первых;во-первых;CONJ;-;-;-;-;-
Друг друга;Курара, 2006;зажечься;зажечься;INFN;-;-;-;-;-
Друг друга;Курара, 2006;в-десятых;в-десятых;CONJ;-;-;-;-;-
Друг друга;Курара, 2006;остаться;остаться;INFN;-;-;-;-;-
Друг друга;Курара, 2006;последним;последний;ADJF;творительный;единственное;-;-;полная
Друг друга;Курара, 2006;засранцем;засранец;NOUN;творительный;единственное;-;-;-
Друг друга;Курара, 2006;летят;лететь;VERB;-;множественное;настоящее;3;-
Друг друга;Курара, 2006;пароходы;пароход;NOUN;винительный;множественное;-;-;-
Друг друга;Курара, 2006;найден;найти;PRTS;-;единственное;прошедшее;-;-
Друг друга;Курара, 2006;багажнике;багажник;NOUN;предложный;единственное;-;-;-
Друг друга;Курара, 2006;труп;труп;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;капитанши;капитанша;NOUN;родительный;единственное;-;-;-
Друг друга;Курара, 2006;ребята;ребята;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;любите;любить;VERB;-;множественное;настоящее;2;-
Друг друга;Курара, 2006;друг;друг;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;друга;друг;NOUN;родительный;единственное;-;-;-
Друг друга;Курара, 2006;мать;мать;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;вашу;ваш;ADJF;винительный;единственное;-;-;полная
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;потуги;потуга;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;подвиги;подвиг;NOUN;винительный;множественное;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;моменты;момент;NOUN;винительный;множественное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;фрагменты;фрагмент;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;на;на;PREP;-;-;-;-;-
Друг друга;Курара, 2006;порванной;порвать;PRTF;родительный;единственное;прошедшее;-;-
Друг друга;Курара, 2006;пленке;плёнка;NOUN;предложный;единственное;-;-;-
Друг друга;Курара, 2006;его;он;NPRO;-;-;-;-;-
Друг друга;Курара, 2006;алименты;алименты;NOUN;винительный;множественное;-;-;-
Друг друга;Курара, 2006;её;её;ADJF;родительный;единственное;-;-;полная
Друг друга;Курара, 2006;сыновья;сын;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;разменяли;разменять;VERB;-;множественное;прошедшее;-;-
Друг друга;Курара, 2006;пеленки;пелёнка;NOUN;родительный;единственное;-;-;-
Друг друга;Курара, 2006;летят;лететь;VERB;-;множественное;настоящее;3;-
Друг друга;Курара, 2006;самолеты;самолёт;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;врывается;врываться;VERB;-;единственное;настоящее;3;-
Друг друга;Курара, 2006;ветер;ветер;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;пустой;пустой;ADJF;творительный;единственное;-;-;полная
Друг друга;Курара, 2006;экипаж;экипаж;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;ребята;ребята;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;любите;любить;VERB;-;множественное;настоящее;2;-
Друг друга;Курара, 2006;друг;друг;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;друга;друг;NOUN;родительный;единственное;-;-;-
Друг друга;Курара, 2006;мать;мать;NOUN;именительный;единственное;-;-;-
Друг друга;Курара, 2006;вашу;ваш;ADJF;винительный;единственное;-;-;полная
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
Друг друга;Курара, 2006;потуги;потуга;NOUN;именительный;множественное;-;-;-
Друг друга;Курара, 2006;за;за;PREP;-;-;-;-;-
Друг друга;Курара, 2006;подвиги;подвиг;NOUN;винительный;множественное;-;-;-
Друг друга;Курара, 2006;наши;наш;ADJF;именительный;множественное;-;-;полная
